Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
No More Heroes,Wii,2007.0,Action,0.29,0.17,0.04,0.05,83.0,8.4,M
NBA Showtime: NBA on NBC,PS,1999.0,Sports,0.31,0.21,0.0,0.04,,,
God of War: Origins Collection,PS3,2011.0,Action,0.39,0.08,0.02,0.06,84.0,8.4,M
Dora The Explorer: Dora Saves the Snow Princess,Wii,2008.0,Platform,0.49,0.02,0.0,0.04,47.0,7,E
Soul Reaver 2,PS2,2001.0,Action,0.27,0.21,0.0,0.07,80.0,8.5,M
Metal Gear Solid 3: Subsistence,PS2,2005.0,Action,0.34,0.01,0.15,0.06,94.0,9.3,M
The Godfather (old US sales),XB,2006.0,Action,0.42,0.11,0.0,0.02,,,
Enslaved: Odyssey to the West,PS3,2010.0,Action,0.24,0.22,0.01,0.09,80.0,7.4,T
Daytona USA,SAT,1994.0,Racing,0.0,0.0,0.55,0.0,,,
WWF Raw,XB,2002.0,Fighting,0.4,0.13,0.0,0.02,68.0,6.6,T
Shin Super Robot Taisen,PS,1996.0,Role-Playing,0.0,0.0,0.52,0.04,,,
Jump Super Stars,DS,2005.0,Fighting,0.0,0.0,0.55,0.0,,,
Guitar Hero Live,XOne,2015.0,Misc,0.3,0.2,0.0,0.05,81.0,5.1,T
The Activision Decathlon,2600,1982.0,Sports,0.52,0.03,0.0,0.01,,,
Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~,PS,2001.0,Shooter,0.31,0.21,0.0,0.04,,,
Fighting Force 2,PS,1999.0,Action,0.31,0.21,0.0,0.04,,,
Sakura Wars,SAT,1996.0,Adventure,0.0,0.0,0.55,0.0,,,
Catz,DS,2006.0,Simulation,0.49,0.02,0.0,0.04,,5.3,E
Extermination,PS2,2001.0,Action,0.21,0.16,0.12,0.05,67.0,7.8,M
Batman: Vengeance,PS2,2001.0,Adventure,0.27,0.21,0.0,0.07,68.0,6.7,T
Ratchet & Clank: Quest for Booty,PS3,2008.0,Platform,0.0,0.52,0.0,0.04,,,
Derby Stallion 04,PS2,2004.0,Sports,0.0,0.0,0.55,0.0,,,
Rapala Tournament Fishing!,Wii,2006.0,Sports,0.51,0.0,0.0,0.04,,,
Hot Shots Golf: World Invitational,PSV,2011.0,Sports,0.15,0.11,0.25,0.05,76.0,8.1,E
Tony Hawk's Pro Skater 3,XB,2002.0,Sports,0.34,0.18,0.0,0.02,93.0,8.4,T
Mega Man Zero,GBA,2002.0,Platform,0.22,0.08,0.24,0.01,82.0,8.9,E
Contender 2,PS,2000.0,Fighting,0.31,0.21,0.0,0.04,,tbd,T
Resident Evil: Revelations 2,PS4,2015.0,Action,0.13,0.24,0.1,0.07,75.0,7.7,M
Star Wars: Dark Forces,PS,1996.0,Shooter,0.31,0.21,0.0,0.04,,,
LEGO Dimensions,PS3,2015.0,Action,0.17,0.3,0.0,0.09,,6.4,
NBA 2K8,PS3,2007.0,Sports,0.5,0.01,0.0,0.05,81.0,6.8,E
Rayman Origins,Wii,2011.0,Platform,0.21,0.27,0.0,0.06,92.0,8.3,E10+
The Amazing Spider-Man 2 (2014),PS4,2014.0,Action,0.2,0.25,0.02,0.09,,,
SD Gundam G Generation Zero,PS,1999.0,Strategy,0.0,0.0,0.51,0.04,,,
Assassin's Creed: Unity,PC,2014.0,Action,0.18,0.33,0.0,0.04,70.0,3,M
MX vs. ATV: Alive,X360,2011.0,Racing,0.37,0.13,0.0,0.04,63.0,7.2,E
Super Robot Taisen F,SAT,1997.0,Strategy,0.0,0.0,0.55,0.0,,,
Shrek 2,XB,2004.0,Platform,0.4,0.13,0.0,0.02,72.0,8.4,E
Purr Pals,DS,2007.0,Simulation,0.18,0.35,0.0,0.02,67.0,6.8,E
Assassin's Creed II,PC,2010.0,Action,0.01,0.45,0.0,0.09,86.0,6.9,M
Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,PS2,2002.0,Sports,0.0,0.0,0.55,0.0,,,
Secret Agent Clank(US sales),PSP,2008.0,Platform,0.33,0.22,0.0,0.0,,,
SpongeBob SquarePants: SuperSponge,GBA,2001.0,Action,0.39,0.15,0.0,0.01,,,
Super Robot Taisen F Kanketsuhen,SAT,1998.0,Strategy,0.0,0.0,0.55,0.0,,,
Tak and the Power of Juju,GBA,2003.0,Platform,0.39,0.15,0.0,0.01,79.0,9.2,E
Madagascar: Escape 2 Africa,Wii,2008.0,Action,0.31,0.18,0.0,0.05,,,
Lips: Number One Hits,X360,2009.0,Misc,0.15,0.34,0.0,0.06,70.0,7.6,T
Mortal Kombat 3,PS,1995.0,Fighting,0.29,0.2,0.02,0.04,,,
Star Wars Battlefront (2015),PC,2015.0,Shooter,0.13,0.38,0.0,0.04,,,
Turok: Evolution,XB,2002.0,Shooter,0.39,0.14,0.0,0.02,68.0,6.7,M
Grease,Wii,2010.0,Misc,0.26,0.24,0.0,0.05,,,
Jak X: Combat Racing,PS2,2005.0,Racing,0.45,0.02,0.0,0.07,76.0,7.7,T
Donkey Kong Jungle Climber,DS,2007.0,Platform,0.25,0.03,0.24,0.03,,,
American Idol,PS2,2003.0,Misc,0.27,0.21,0.0,0.07,41.0,4.8,E
Top Gun: Fire at Will!,PS,1996.0,Misc,0.3,0.21,0.0,0.04,,,
Barbie Horse Adventures: Riding Camp,DS,2008.0,Sports,0.5,0.0,0.0,0.04,,tbd,E
Red Dead Revolver,XB,2004.0,Shooter,0.4,0.12,0.0,0.02,74.0,8.5,M
CrossworDS,DS,2008.0,Puzzle,0.5,0.0,0.0,0.04,67.0,6.8,E
Viva Pinata: Pocket Paradise,DS,2008.0,Simulation,0.26,0.23,0.0,0.06,82.0,7.1,E
Petz Catz Clan,DS,2008.0,Simulation,0.47,0.03,0.0,0.04,,tbd,E
ZhuZhu Pets 2: Featuring The Wild Bunch,DS,2010.0,Simulation,0.4,0.1,0.0,0.04,,tbd,E
Sly Cooper: Thieves in Time,PS3,2013.0,Platform,0.35,0.12,0.0,0.08,75.0,8.3,E10+
Iron Man,PS2,2008.0,Action,0.36,0.0,0.0,0.19,47.0,5.6,T
SingStar Summer Party,PS2,2008.0,Misc,0.0,0.06,0.0,0.48,,,
Spec Ops: The Line,PS3,2012.0,Shooter,0.19,0.23,0.04,0.08,77.0,8,M
The SpongeBob SquarePants Movie,XB,2004.0,Platform,0.4,0.12,0.0,0.02,74.0,8.5,E
NHL 14,PS3,2013.0,Sports,0.28,0.17,0.0,0.09,80.0,6,E10+
F1 2013,PS3,2013.0,Racing,0.01,0.42,0.03,0.09,77.0,6.3,E
FIFA Soccer 07,XB,2006.0,Sports,0.16,0.35,0.0,0.04,,,
Gekikuukan Pro Yakyuu: At the End of the Century 1999,PS2,2000.0,Sports,0.0,0.0,0.54,0.0,,,
Legends of WrestleMania,PS3,2009.0,Fighting,0.3,0.16,0.0,0.07,70.0,6.5,T
Are You Smarter than a 5th Grader? Make the Grade,Wii,2008.0,Misc,0.5,0.0,0.0,0.04,,tbd,E
Tiger Woods PGA Tour 08,X360,2007.0,Sports,0.49,0.02,0.0,0.04,80.0,7.8,E
Medarot 2: Kabuto / Kuwagata Version,GB,1999.0,Role-Playing,0.0,0.0,0.54,0.0,,,
Dance Dance Revolution Ultramix,XB,2003.0,Simulation,0.42,0.11,0.0,0.02,82.0,8.8,E
Crash Tag Team Racing,PS2,2005.0,Racing,0.27,0.21,0.0,0.07,66.0,7,E10+
Front Mission 4,PS2,2003.0,Strategy,0.14,0.11,0.25,0.04,75.0,8.6,T
The Fairly Odd Parents: Breakin' Da Rules,GBA,2003.0,Platform,0.39,0.14,0.0,0.01,,,
Rayman Origins,PSV,2012.0,Platform,0.12,0.33,0.0,0.09,88.0,8.4,E10+
Ninokuni: Shikkoku no Madoushi,DS,2010.0,Role-Playing,0.0,0.0,0.54,0.0,,,
F.E.A.R.,PS3,2007.0,Shooter,0.18,0.26,0.0,0.1,72.0,7.4,M
Enslaved: Odyssey to the West,X360,2010.0,Action,0.3,0.19,0.0,0.05,82.0,7.8,T
SRS: Street Racing Syndicate,PS2,2004.0,Racing,0.26,0.21,0.0,0.07,,,
Dragon Ball Z: Shin Budokai,PSP,2006.0,Fighting,0.26,0.08,0.13,0.07,70.0,8.1,T
Tiger Woods PGA Tour 13,PS3,2012.0,Sports,0.24,0.21,0.0,0.08,75.0,5.7,E
Dynasty Warriors: Gundam 3,PS3,2010.0,Action,0.11,0.04,0.36,0.02,58.0,7.5,T
Def Jam: Fight for NY,XB,,Fighting,0.43,0.1,0.0,0.02,84.0,8.5,M
Action Force,2600,1982.0,Action,0.5,0.03,0.0,0.01,,,
FIFA 99,N64,1998.0,Sports,0.11,0.39,0.0,0.03,,,
Gauntlet Legends,N64,1999.0,Action,0.43,0.1,0.0,0.01,,,
Kidou Senshi Gundam: Extreme VS,PS3,2011.0,Fighting,0.0,0.0,0.54,0.0,,,
System 3 presents Ferrari Challenge Trofeo Pirelli,Wii,2008.0,Racing,0.07,0.4,0.0,0.07,,,
Tony Hawk: Shred,Wii,2010.0,Sports,0.39,0.11,0.0,0.04,,7,E
Tiger Woods PGA Tour 11,Wii,2010.0,Sports,0.23,0.25,0.0,0.06,84.0,8.3,E
NBA Live 10,PS3,2009.0,Sports,0.46,0.02,0.01,0.05,81.0,7.5,E
Metro 2033,X360,2010.0,Shooter,0.22,0.23,0.03,0.05,77.0,7.9,M
Bust A Groove,PS,1998.0,Misc,0.09,0.06,0.35,0.04,,,
Fire Emblem: Path of Radiance,GC,2005.0,Action,0.29,0.08,0.16,0.01,85.0,8.9,T
Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,PS2,2002.0,Role-Playing,0.0,0.0,0.54,0.0,,,
Hotel Dusk: Room 215,DS,2007.0,Adventure,0.26,0.04,0.22,0.03,78.0,8.6,T
Final Fantasy Explorers,3DS,2014.0,Role-Playing,0.16,0.07,0.28,0.02,69.0,7,E10+
Pachi-Slot Aruze Oukoku 2,PS,1999.0,Misc,0.0,0.0,0.5,0.04,,,
Bratz: Rock Angelz,GBA,2004.0,Misc,0.39,0.14,0.0,0.01,,,E
SSX Tricky,GC,2001.0,Sports,0.42,0.11,0.0,0.01,87.0,8.6,E
Greg Hastings' Tournament Paintball,XB,2004.0,Shooter,0.46,0.06,0.0,0.02,74.0,9.2,T
World Soccer Winning Eleven 7 International (JP version),PS2,2004.0,Sports,0.0,0.0,0.54,0.0,,,
ESPN NBA Basketball,PS2,2003.0,Sports,0.26,0.21,0.0,0.07,89.0,8.4,E
Dragon Ball Z: Ultimate Tenkaichi,X360,2011.0,Fighting,0.39,0.1,0.01,0.04,55.0,5.8,T
Sacred 2: Fallen Angel,X360,2009.0,Role-Playing,0.29,0.16,0.04,0.05,71.0,7.3,M
Two Worlds II,X360,2011.0,Role-Playing,0.4,0.07,0.03,0.03,67.0,6.6,M
Over the Hedge,PS2,2006.0,Platform,0.45,0.02,0.0,0.07,58.0,8.6,E10+
Mat Hoffman's Pro BMX,PS,2001.0,Sports,0.3,0.2,0.0,0.04,80.0,8.6,E
Phineas and Ferb: Across the 2nd Dimension,DS,2011.0,Action,0.31,0.18,0.0,0.05,47.0,tbd,E
50 Classic Games,DS,2009.0,Misc,0.5,0.0,0.0,0.04,,tbd,E
Let's Draw!,DS,2008.0,Misc,0.24,0.23,0.0,0.06,,,
NHL 14,X360,2013.0,Sports,0.4,0.09,0.0,0.05,81.0,5.9,E10+
Popeye,2600,1982.0,Platform,0.5,0.03,0.0,0.01,,,
Petz Nursery,DS,2009.0,Simulation,0.5,0.0,0.0,0.04,,tbd,E
The Hobbit,PS2,2003.0,Platform,0.26,0.2,0.0,0.07,59.0,8.6,E
War of the Monsters,PS2,2003.0,Fighting,0.26,0.2,0.0,0.07,80.0,8.9,T
Harry Potter and the Deathly Hallows - Part 1,Wii,2010.0,Action,0.22,0.27,0.0,0.05,41.0,5,T
NBA Street Vol. 2,GC,,Sports,0.41,0.11,0.0,0.01,88.0,8.1,E
The Incredible Hulk: Ultimate Destruction,PS2,2005.0,Action,0.26,0.2,0.0,0.07,83.0,8.7,T
Time Crisis: Razing Storm,PS3,2010.0,Shooter,0.18,0.2,0.07,0.08,58.0,5.9,T
Summer Sports: Paradise Island,Wii,2008.0,Sports,0.48,0.01,0.0,0.04,46.0,4.6,E
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",SAT,1998.0,Adventure,0.0,0.0,0.53,0.0,,,
Time Crisis II,PS2,2001.0,Shooter,0.26,0.2,0.0,0.07,81.0,7.9,T
Inazuma Eleven GO,3DS,2011.0,Role-Playing,0.0,0.05,0.48,0.0,,,
Clock Tower,PS,1996.0,Adventure,0.07,0.05,0.38,0.03,,,
NCAA March Madness 06,PS2,2005.0,Sports,0.45,0.02,0.0,0.07,78.0,9.1,E
LEGO Dimensions,WiiU,2015.0,Action,0.3,0.18,0.0,0.05,62.0,6.5,E10+
Valkyria Chronicles II,PSP,2010.0,Role-Playing,0.12,0.15,0.18,0.09,83.0,8.1,T
Jampack Volume 11,PS2,2004.0,Misc,0.26,0.2,0.0,0.07,,,
Monster High: Ghoul Spirit,Wii,2011.0,Misc,0.42,0.07,0.0,0.04,,tbd,E
Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,2010.0,Fighting,0.3,0.15,0.03,0.05,85.0,8.8,T
Rune Factory: A Fantasy Harvest Moon,DS,2006.0,Role-Playing,0.35,0.01,0.14,0.03,78.0,8.1,E
Legacy of Kain: Defiance,PS2,2003.0,Action,0.26,0.2,0.0,0.07,75.0,9.3,M
SpongeBob SquarePants: Game Boy Advance Video Volume 2,GBA,2004.0,Misc,0.38,0.14,0.0,0.01,,,
NCAA March Madness 2005,PS2,2004.0,Sports,0.44,0.02,0.0,0.07,78.0,8.3,E
007 Racing,PS,2000.0,Racing,0.3,0.2,0.0,0.03,51.0,4.6,T
Tactics Ogre: Let Us Cling Together,PSP,2010.0,Role-Playing,0.15,0.07,0.27,0.05,87.0,8.8,T
Conflict: Vietnam,PS2,2004.0,Shooter,0.26,0.2,0.0,0.07,58.0,8.1,M
Dragon's Crown,PS3,2013.0,Role-Playing,0.25,0.07,0.17,0.05,82.0,8.3,T
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,2004.0,Misc,0.4,0.11,0.0,0.02,,,
MLB SlugFest 20-04,PS2,2003.0,Sports,0.26,0.2,0.0,0.07,78.0,8.3,E
Gex 3: Deep Cover Gecko,PS,1999.0,Platform,0.3,0.2,0.0,0.03,,,
NASCAR 09,PS2,2008.0,Racing,0.26,0.2,0.0,0.07,,7.9,E
Blitz: The League,XB,2004.0,Sports,0.4,0.11,0.0,0.02,78.0,7.7,M
Manhunt 2,Wii,2007.0,Action,0.25,0.23,0.0,0.06,62.0,7.1,M
Just Dance 2015,XOne,2014.0,Misc,0.35,0.13,0.0,0.05,70.0,7.5,E10+
Jampack Vol. 2,PS,1996.0,Misc,0.3,0.2,0.0,0.03,,,
The LEGO Movie Videogame,XOne,2014.0,Action,0.35,0.13,0.0,0.05,69.0,6.9,E10+
Virtual Soccer,SNES,1993.0,Sports,0.0,0.0,0.53,0.0,,,
Overwatch,PC,2016.0,Shooter,0.25,0.24,0.0,0.04,91.0,6.8,T
Romance of the Three Kingdoms IV: Wall of Fire,SNES,1994.0,Strategy,0.0,0.0,0.53,0.0,,,
Monster Jam: Path of Destruction,Wii,2010.0,Racing,0.48,0.02,0.0,0.03,,tbd,E
Winning Post,SNES,1993.0,Sports,0.0,0.0,0.53,0.0,,,
Peter Jackson's King Kong: The Official Game of the Movie,XB,2005.0,Action,0.34,0.17,0.0,0.02,82.0,8.5,T
Burnout Revenge,XB,2005.0,Racing,0.32,0.19,0.0,0.01,89.0,8.4,E10+
Medal of Honor: European Assault,XB,2005.0,Shooter,0.32,0.19,0.0,0.02,72.0,7,T
Ty the Tasmanian Tiger 2: Bush Rescue,PS2,2004.0,Platform,0.26,0.2,0.0,0.07,71.0,8.2,E
The Lord of the Rings: The Fellowship of the Ring,XB,2002.0,Action,0.31,0.19,0.0,0.03,59.0,6.6,T
NBA 06,PS2,2005.0,Sports,0.26,0.2,0.0,0.07,63.0,6.3,E
Inazuma Eleven,DS,2008.0,Role-Playing,0.0,0.13,0.38,0.02,,,
Excite Truck,Wii,2006.0,Racing,0.39,0.03,0.08,0.04,72.0,8.4,E
Phoenix Wright: Ace Attorney - Justice for All,DS,2006.0,Adventure,0.21,0.04,0.26,0.03,,,
Spider-Man,N64,2000.0,Action,0.43,0.09,0.0,0.01,,,
Magician's Quest: Mysterious Times,DS,2008.0,Role-Playing,0.04,0.01,0.48,0.0,69.0,7.6,E10+
Hello Kitty: Big City Dreams,DS,2008.0,Puzzle,0.42,0.07,0.0,0.04,,tbd,E
X-Men Legends,GC,2004.0,Role-Playing,0.41,0.11,0.0,0.01,81.0,8.5,T
Mario & Sonic at the Rio 2016 Olympic Games,3DS,2016.0,Action,0.05,0.21,0.25,0.02,,,
G-Force,DS,2009.0,Action,0.26,0.21,0.0,0.05,,9,E10+
Front Mission 2,PS,1997.0,Strategy,0.0,0.0,0.49,0.03,,,
StarCraft II: Legacy of the Void,PC,2015.0,Strategy,0.19,0.29,0.0,0.04,88.0,8.3,T
Jewel Master Egypt,DS,2009.0,Puzzle,0.21,0.27,0.0,0.05,56.0,tbd,E
ModNation Racers,PSP,2010.0,Racing,0.11,0.26,0.02,0.14,73.0,7.7,E
LEGO Dimensions,X360,2015.0,Action,0.26,0.23,0.0,0.04,,6.1,
WWE SmackDown vs. Raw 2010,DS,2009.0,Fighting,0.35,0.13,0.0,0.05,75.0,8.3,T
Are You Smarter Than A 5th Grader?,DS,2007.0,Misc,0.48,0.0,0.0,0.04,,tbd,E
Oni,PS2,2001.0,Action,0.26,0.2,0.0,0.07,69.0,7.8,T
Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,2007.0,Shooter,0.35,0.09,0.0,0.08,61.0,6.4,T
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,Wii,2008.0,Action,0.49,0.0,0.0,0.04,47.0,5.4,E
Terminator Salvation,PS3,2009.0,Shooter,0.13,0.28,0.01,0.1,43.0,3.9,T
How to Train Your Dragon,DS,2010.0,Action,0.31,0.17,0.0,0.05,60.0,tbd,E10+
The Lord of the Rings: The Two Towers,GC,2002.0,Action,0.41,0.11,0.0,0.01,82.0,8.7,T
Batman: Arkham City,PC,2011.0,Action,0.16,0.28,0.0,0.09,91.0,8.6,T
Juiced,PS2,2005.0,Racing,0.26,0.2,0.0,0.07,68.0,7.7,T
The Warriors,PS2,2005.0,Action,0.44,0.02,0.0,0.07,84.0,8.5,M
J-League Soccer: Prime Goal 2,SNES,1994.0,Sports,0.0,0.0,0.53,0.0,,,
Star Fox Command,DS,2006.0,Shooter,0.38,0.01,0.1,0.04,76.0,7.3,E10+
Dragon Age: Inquisition,X360,2014.0,Role-Playing,0.36,0.12,0.0,0.05,,5.1,M
Wayne Gretzky's 3D Hockey,N64,1996.0,Sports,0.49,0.03,0.0,0.0,,,
NASCAR 2000,N64,1999.0,Racing,0.49,0.03,0.0,0.0,,,
Pachi-Slot Aruze Oukoku 4,PS,2000.0,Misc,0.0,0.0,0.49,0.03,,,
Bulletstorm,PS3,2011.0,Shooter,0.23,0.2,0.01,0.08,83.0,7.7,M
Return to Castle Wolfenstein: Operation Resurrection,PS2,2003.0,Shooter,0.26,0.2,0.0,0.07,66.0,8,M
Mario Tennis: Power Tour,GBA,2005.0,Sports,0.24,0.09,0.19,0.01,81.0,8,E
Seaman,DC,1999.0,Simulation,0.0,0.0,0.52,0.0,82.0,8.4,T
The Grinch,PS,1999.0,Adventure,0.29,0.2,0.0,0.03,55.0,,E
Tales of Symphonia,PS3,2013.0,Role-Playing,0.21,0.12,0.13,0.07,,7.2,T
Michael Jackson: The Experience,PS3,2011.0,Misc,0.25,0.19,0.0,0.08,66.0,8.4,E10+
Tales of Destiny,PS2,2006.0,Role-Playing,0.0,0.0,0.52,0.0,,,
Stuntman: Ignition,PS3,2007.0,Racing,0.17,0.26,0.0,0.1,76.0,6.2,T
Littlest Pet Shop 3: Biggest Stars - Blue / Pink / Purple Team,DS,2010.0,Simulation,0.49,0.0,0.0,0.03,,,
F.E.A.R. 2: Project Origin,X360,2009.0,Shooter,0.32,0.15,0.0,0.05,77.0,8,M
Mystery Dungeon: Shiren the Wanderer,DS,2006.0,Role-Playing,0.17,0.0,0.33,0.02,69.0,8.2,E
GT Pro Series,Wii,2006.0,Racing,0.46,0.01,0.02,0.04,41.0,4,E
Tiger Woods PGA Tour 11,X360,2010.0,Sports,0.28,0.19,0.0,0.05,79.0,7.8,E
The Golden Compass,PS2,2007.0,Action,0.13,0.0,0.0,0.39,46.0,5.2,E10+
Final Fantasy Chronicles,PS,2001.0,Role-Playing,0.29,0.2,0.0,0.03,89.0,9.1,T
F1 2009,PSP,2009.0,Racing,0.08,0.29,0.0,0.16,68.0,7.2,E
Syphon Filter 3,PS,2001.0,Shooter,0.29,0.2,0.0,0.03,73.0,8.5,M
Metal Gear Solid 2: Substance,PS2,2002.0,Action,0.18,0.14,0.16,0.05,87.0,9,M
Tales of Symphonia: Dawn of the New World,Wii,2008.0,Role-Playing,0.21,0.04,0.24,0.02,68.0,7.1,T
NBA Live 08,X360,2007.0,Sports,0.47,0.0,0.0,0.04,73.0,5.3,E
Guinness World Records: The Videogame,DS,2008.0,Action,0.47,0.01,0.0,0.04,70.0,tbd,E
We Love Katamari,PS2,2005.0,Puzzle,0.26,0.2,0.0,0.07,86.0,8.9,E
Sesame Street: Once Upon A Monster,X360,2011.0,Misc,0.39,0.09,0.0,0.04,79.0,6.9,E
NCAA Football 2003,XB,2002.0,Sports,0.39,0.11,0.0,0.02,90.0,8.2,E
We Cheer,Wii,2008.0,Simulation,0.47,0.0,0.0,0.04,56.0,7.3,E10+
Madden NFL 07,PS3,2006.0,Sports,0.47,0.0,0.01,0.04,76.0,4.2,E
Ready 2 Rumble Boxing: Round 2,PS,2000.0,Fighting,0.29,0.2,0.0,0.03,68.0,tbd,T
LEGO Jurassic World,WiiU,2015.0,Action,0.27,0.19,0.02,0.04,71.0,8.1,E10+
Mega Man 6,NES,1993.0,Platform,0.28,0.07,0.16,0.01,,,
NBA Live 09,PS3,2008.0,Sports,0.46,0.0,0.02,0.04,75.0,7.8,E
FIFA 12,PSP,2011.0,Sports,0.12,0.25,0.02,0.13,,,
Mission: Impossible,PS,1999.0,Action,0.29,0.2,0.0,0.03,,,
Rory McIlroy PGA Tour,PS4,2015.0,Action,0.18,0.25,0.0,0.08,61.0,3.7,E
SingStar Dance,PS3,2010.0,Misc,0.09,0.31,0.0,0.11,65.0,3.9,T
Rival Schools: United By Fate,PS,1998.0,Fighting,0.12,0.08,0.28,0.03,,,
Lords of the Fallen,PS4,2014.0,Role-Playing,0.18,0.24,0.02,0.08,68.0,6.6,M
Swing Away Golf,PS2,2000.0,Sports,0.17,0.13,0.18,0.04,78.0,tbd,E
J-League Pro Soccer Club o Tsukurou! 3,PS2,2003.0,Sports,0.0,0.0,0.52,0.0,,,
Tomb Raider: Legend,PS2,2006.0,Action,0.25,0.19,0.02,0.06,82.0,7.1,T
Freedom Fighters,PS2,2003.0,Shooter,0.25,0.2,0.0,0.07,81.0,8.4,T
Silent Hill: Origins,PSP,2007.0,Action,0.22,0.15,0.04,0.1,78.0,7.8,M
Gun,XB,2005.0,Shooter,0.38,0.12,0.0,0.02,79.0,7.8,M
That's So Raven 2: Supernatural Style,GBA,2005.0,Adventure,0.37,0.14,0.0,0.01,52.0,tbd,E
Fight Night Round 3,PSP,2006.0,Fighting,0.46,0.01,0.0,0.04,74.0,8.1,T
The Punisher,PS2,2005.0,Action,0.25,0.2,0.0,0.07,68.0,8.2,M
Kirby and the Rainbow Curse,WiiU,2015.0,Platform,0.22,0.13,0.12,0.04,73.0,8,E
Front Mission 3,PS,1999.0,Strategy,0.1,0.07,0.31,0.03,,,
Kenkou Ouen Recipe 1000: DS Kondate Zenshuu,DS,2006.0,Misc,0.0,0.0,0.52,0.0,,,
SSX On Tour,PS2,2005.0,Sports,0.25,0.2,0.0,0.07,80.0,7.9,E
 Frozen: Olaf's Quest,DS,2013.0,Platform,0.21,0.26,0.0,0.04,,,
Disgaea 3: Absence of Justice,PS3,2008.0,Role-Playing,0.33,0.03,0.11,0.04,78.0,7.5,T
Tony Hawk's Pro Skater 3,GBA,2002.0,Sports,0.37,0.14,0.0,0.01,90.0,8,E
Way of the Samurai 3,PS3,2008.0,Action,0.18,0.08,0.22,0.04,58.0,7.9,M
The Sims 2: Open for Business,PC,2006.0,Simulation,0.46,0.05,0.0,0.0,78.0,8.6,T
Rune Factory 2: A Fantasy Harvest Moon,DS,2008.0,Role-Playing,0.32,0.03,0.15,0.03,77.0,7.9,E
Harry Potter and the Prisoner of Azkaban,GBA,2004.0,Action,0.37,0.14,0.0,0.01,69.0,8.1,E
Omega Boost,PS,1999.0,Shooter,0.17,0.11,0.2,0.03,,,
NFL 2K3,XB,2002.0,Sports,0.38,0.11,0.0,0.02,,,
Cars 2,PS3,2011.0,Racing,0.22,0.21,0.0,0.09,,,
Go Diego Go! Safari Rescue,Wii,2008.0,Action,0.47,0.0,0.0,0.04,,,
SimAnimals,DS,2009.0,Simulation,0.26,0.2,0.0,0.05,70.0,7.5,E
NBA Live 2002,PS,2001.0,Sports,0.29,0.19,0.0,0.03,81.0,8.8,E
Jampack Winter 2002,PS2,2002.0,Misc,0.25,0.2,0.0,0.07,,,
LEGO Marvel Super Heroes,PSV,2013.0,Action,0.11,0.29,0.0,0.11,,,
Way of the Samurai,PS2,2002.0,Action,0.13,0.1,0.25,0.03,74.0,8.2,M
The 3rd Birthday,PSP,2010.0,Role-Playing,0.13,0.07,0.27,0.05,71.0,6.1,M
Sonic & All-Stars Racing Transformed,WiiU,2012.0,Racing,0.19,0.26,0.02,0.04,,,
Kung Fu Panda,PS3,2008.0,Action,0.21,0.21,0.0,0.09,76.0,7.3,E10+
Classic Word Games,DS,2009.0,Misc,0.09,0.36,0.0,0.06,,tbd,E
Epic Mickey 2: The Power of Two,X360,2012.0,Action,0.32,0.15,0.0,0.04,59.0,5.5,E
Fishing Derby,2600,,Sports,0.48,0.03,0.0,0.01,,,
Pac-Man Fever,PS2,2001.0,Misc,0.25,0.2,0.0,0.07,47.0,6.3,E
Spectrobes: Beyond the Portals,DS,2008.0,Role-Playing,0.36,0.11,0.0,0.04,70.0,7.7,E10+
International Track & Field,PS,1996.0,Sports,0.08,0.05,0.35,0.03,,,
HSX HyperSonic.Xtreme,PS2,2002.0,Racing,0.25,0.2,0.0,0.07,53.0,8.4,E
Lair,PS3,2007.0,Action,0.36,0.03,0.08,0.04,53.0,6.4,T
Madden NFL 2004,GC,2003.0,Sports,0.4,0.1,0.0,0.01,94.0,7.7,E
Jikkyou Powerful Pro Yakyuu 10,PS2,2003.0,Sports,0.0,0.0,0.51,0.0,,,
Summoner,PS2,2000.0,Role-Playing,0.25,0.2,0.0,0.07,74.0,7.8,T
Soul Sacrifice,PSV,2013.0,Role-Playing,0.15,0.08,0.22,0.06,77.0,8.2,M
Virtual Pool,PS,1997.0,Sports,0.28,0.19,0.0,0.03,,,
DC Universe Online,PS3,2011.0,Role-Playing,0.35,0.11,0.0,0.06,67.0,7.4,T
Jam With the Band,DS,2008.0,Misc,0.0,0.0,0.51,0.0,,,
NBA Live 07,PSP,2006.0,Sports,0.47,0.0,0.0,0.04,64.0,7.5,E
IL-2 Sturmovik: Birds of Prey,X360,2009.0,Simulation,0.23,0.23,0.0,0.05,80.0,8.4,T
100 All-Time Favorites,DS,2009.0,Puzzle,0.35,0.12,0.0,0.04,,6.2,E
